marketing_score,competition_index,customer_satisfaction,purchasing_power_index,store_traffic,jPhone_Pro_revenue,Kaggle_Pixel_5_revenue,Planet_SX_revenue,date,year,month,day,day_of_week,week_of_year,is_weekend,weather_condition_Bad,weather_condition_Good,5g_phase_Early-5G,5g_phase_Mature-5G,5g_phase_Mid-5G,5g_phase_Pre-5G,public_transport_Good,public_transport_Hub,public_transport_Poor
80.0,23.33,68.0,90.0,0.8,46262.0,20989.1,25250.845,2019-01-01,2019,1,1,1,1,0,True,False,False,False,False,True,False,True,False
80.07,23.58,68.0,90.09,0.33,53837.01,29778.99,19851.72,2019-01-02,2019,1,2,2,1,0,False,False,False,False,False,True,False,False,False
80.14,23.82,68.0,90.17,0.78,63856.25,29479.77,15969.54,2019-01-03,2019,1,3,3,1,0,True,False,False,False,False,True,False,True,False
80.22,24.06,68.0,90.26,0.53,60233.35,33388.05,15323.78,2019-01-04,2019,1,4,4,1,0,False,False,False,False,False,True,False,True,False
80.29,24.3,68.0,90.34,0.41,85107.83,40638.04,18234.98,2019-01-05,2019,1,5,5,1,1,False,False,False,False,False,True,True,False,False
80.36,24.54,68.01,90.43,0.06,69711.28,38609.6,19364.16,2019-01-06,2019,1,6,6,1,1,False,False,False,False,False,True,False,True,False
80.43,24.775,68.01,90.52,0.19,62110.32,33170.61,14962.56,2019-01-07,2019,1,7,0,2,0,False,False,False,False,False,True,False,False,True
80.58,25.01,68.01,90.6,0.23,57779.43,27731.62,15155.63,2019-01-08,2019,1,8,1,2,0,False,False,False,False,False,True,False,True,False
80.72,25.23,68.01,90.69,-0.85,52613.79,30105.51,17798.16,2019-01-09,2019,1,9,2,2,0,False,False,False,False,False,True,False,False,True
80.87,25.450000000000003,68.01,90.77,0.78,61976.42,31091.7,14733.89,2019-01-10,2019,1,10,3,2,0,True,False,False,False,False,True,False,True,False
81.01,25.67,68.01,90.86,0.08,64047.08,37976.15,15557.19,2019-01-11,2019,1,11,4,2,0,True,False,False,False,False,True,False,False,True
81.15,25.88,68.01,90.94,0.46,71123.93,46320.77,14860.63,2019-01-12,2019,1,12,5,2,1,False,False,False,False,False,True,False,False,True
81.3,26.08,68.01,91.03,0.16,82875.21,36238.28,14164.07,2019-01-13,2019,1,13,6,2,1,False,False,False,False,False,True,True,False,False
81.44,26.28,68.01,91.11,0.27,63904.96,31483.785,13467.51,2019-01-14,2019,1,14,0,3,0,False,False,False,False,False,True,False,False,True
81.58,26.7,68.02,91.19,0.03,59863.03,26729.29,15354.16,2019-01-15,2019,1,15,1,3,0,False,False,False,False,False,True,True,False,False
81.72,27.09,68.02,91.28,-0.21,60913.43,29677.44,16547.42,2019-01-16,2019,1,16,2,3,0,True,False,False,False,False,True,False,True,False
81.87,27.47,68.02,91.36,-0.83,73032.07,28907.89,14672.11,2019-01-17,2019,1,17,3,3,0,True,False,False,False,False,True,False,True,False
82.01,27.83,68.02,91.44,1.68,68064.12,36017.1,18129.28,2019-01-18,2019,1,18,4,3,0,True,False,False,False,False,True,False,True,False
82.15,28.17,68.02,91.52,0.82,92588.08333333331,34751.205,23547.43,2019-01-19,2019,1,19,5,3,1,False,False,False,False,False,True,True,False,False
82.29,28.49,68.02,91.61,0.19,117112.04666666666,33485.31,19220.35,2019-01-20,2019,1,20,6,3,1,False,False,False,False,False,True,True,False,False
82.43,28.77,68.02,91.69,0.7,141636.01,28426.07,14893.27,2019-01-21,2019,1,21,0,4,0,False,False,False,False,False,True,True,False,False
82.56,29.04,68.02,91.77,0.06,119737.67,25969.85,14161.69,2019-01-22,2019,1,22,1,4,0,False,False,False,False,False,True,False,True,False
82.7,29.27,68.02,91.85,0.18,69524.78,30317.48,17372.79,2019-01-23,2019,1,23,2,4,0,False,False,False,False,False,True,False,True,False
82.84,29.48,68.03,91.93,0.285,79510.9,34450.73,15058.42,2019-01-24,2019,1,24,3,4,0,True,False,False,False,False,True,False,False,False
82.98,29.65,68.03,92.01,0.39,74311.41,33131.83,17338.15,2019-01-25,2019,1,25,4,4,0,False,False,False,False,False,True,False,True,False
83.11,29.8,68.03,92.09,-0.52,89445.84,39893.33,22126.45,2019-01-26,2019,1,26,5,4,1,False,False,False,False,False,True,False,True,False
83.24,29.91,68.03,92.16,-0.39,77557.23,34205.41,20490.505,2019-01-27,2019,1,27,6,4,1,True,False,False,False,False,True,False,True,False
83.38,29.99,68.03,92.24,0.22,54987.29,34813.64,18854.56,2019-01-28,2019,1,28,0,5,0,False,False,False,False,False,True,False,True,False
83.51,30.04,68.03,92.32,-0.06,48410.56,28844.75,18802.02,2019-01-29,2019,1,29,1,5,0,False,False,False,False,False,True,True,False,False
83.64,30.06,68.03,92.39,0.02,80585.26,33854.62,19952.14,2019-01-30,2019,1,30,2,5,0,False,False,False,False,False,True,True,False,False
83.77,30.04,68.03,92.47,0.64,81757.91,30862.99,18671.99,2019-01-31,2019,1,31,3,5,0,False,False,False,False,False,True,False,True,False
83.9,29.99,68.04,92.54,0.37,82930.56,30530.77,18066.27,2019-02-01,2019,2,1,4,5,0,False,False,False,False,False,True,False,True,False
84.03,29.91,68.04,92.62,0.43,81157.91,31535.18,19899.295,2019-02-02,2019,2,2,5,5,1,False,False,False,False,False,True,False,True,False
84.16,29.8,68.04,92.69,0.43,95595.33,28419.07,21732.32,2019-02-03,2019,2,3,6,5,1,False,False,False,False,False,True,False,True,False
84.28,29.65,68.04,92.76,-0.48,57221.58,25302.96,16043.0,2019-02-04,2019,2,4,0,6,0,True,False,False,False,False,True,False,False,False
84.41,29.48,68.04,92.83,-0.94,58426.74,32030.19,18087.86,2019-02-05,2019,2,5,1,6,0,True,False,False,False,False,True,False,True,False
84.53,29.27,68.05,92.9,0.53,71295.29,36962.77,35457.16,2019-02-06,2019,2,6,2,6,0,True,False,False,False,False,True,False,True,False
84.66,29.04,68.05,92.97,0.15,76268.41,36671.83,41540.78,2019-02-07,2019,2,7,3,6,0,False,False,False,False,False,True,False,True,False
84.78,28.77,68.05,93.04,0.0,80859.3,37829.69,34715.76,2019-02-08,2019,2,8,4,6,0,False,False,False,False,False,True,False,True,False
84.9,28.49,68.05,93.11,-0.15,89936.58,42024.9,20869.02,2019-02-09,2019,2,9,5,6,1,False,False,False,False,False,True,False,True,False
85.01,28.17,68.06,93.18,0.69,82155.26,40663.7,21129.7,2019-02-10,2019,2,10,6,6,1,True,False,False,False,False,True,False,False,True
85.13,27.83,68.06,93.24,0.78,72328.52,36340.22,20221.45,2019-02-11,2019,2,11,0,7,0,False,False,False,False,False,True,False,False,False
85.25,27.47,68.06,93.31,-0.42,58662.53,28838.26,15987.76,2019-02-12,2019,2,12,1,7,0,True,False,False,False,False,True,False,True,False
85.36,27.09,68.06,93.37,-0.1,72231.24,31864.61,20774.5,2019-02-13,2019,2,13,2,7,0,True,False,False,False,False,True,True,False,False
85.47,26.7,68.06,93.44,-0.61,72342.2,28233.18,22845.89,2019-02-14,2019,2,14,3,7,0,True,False,False,False,False,True,True,False,False
85.58,26.28,68.07,93.5,0.35,87912.4,38755.0,22414.26,2019-02-15,2019,2,15,4,7,0,True,False,False,False,False,True,False,False,False
85.69,25.85,68.07,93.56,0.13,90389.81,41163.23,15353.05,2019-02-16,2019,2,16,5,7,1,False,False,False,False,False,True,False,True,False
85.8,25.41,68.07,93.62,1.0,80810.70999999999,38771.79,22745.96,2019-02-17,2019,2,17,6,7,1,True,False,False,False,False,True,True,False,False
85.91,24.96,68.07,93.68,0.79,71231.61,30042.65,15523.49,2019-02-18,2019,2,18,0,8,0,True,False,False,False,False,True,False,False,False
86.01,24.5,68.08,93.73,-0.1,80307.65,35071.31,13749.38,2019-02-19,2019,2,19,1,8,0,False,False,False,False,False,True,False,False,True
86.12,24.04,68.08,93.79,0.66,72819.34,37974.26,22409.52,2019-02-20,2019,2,20,2,8,0,False,False,False,False,False,True,False,False,False
86.22,23.57,68.08,93.85,-0.42,79968.4,36278.09,20934.885,2019-02-21,2019,2,21,3,8,0,False,False,False,False,False,True,False,False,True
86.32,23.1,68.08,93.9,0.22,73928.68,36159.57,19460.25,2019-02-22,2019,2,22,4,8,0,False,False,False,False,False,True,False,True,False
86.41,22.63,68.08,93.95,0.55,82310.21,35573.41,26731.56,2019-02-23,2019,2,23,5,8,1,False,False,False,False,False,True,False,True,False
86.51,22.17,68.09,94.01,-0.21,82710.01,52458.05,23251.3,2019-02-24,2019,2,24,6,8,1,True,False,False,False,False,True,False,True,False
86.6,21.71,68.09,94.06,0.71,114704.61,45444.62,19680.13,2019-02-25,2019,2,25,0,9,0,False,False,False,False,False,True,False,False,False
86.7,21.25,68.09,94.11,0.57,65129.76,32925.79,21112.165,2019-02-26,2019,2,26,1,9,0,True,False,False,False,False,True,True,False,False
86.785,20.81,68.09,94.16,0.02,66963.53,35360.09,22544.2,2019-02-27,2019,2,27,2,9,0,False,False,False,False,False,True,False,True,False
86.87,20.38,68.095,94.2,0.48,72341.11,44905.19,24297.87,2019-02-28,2019,2,28,3,9,0,False,False,False,False,False,True,False,True,False
86.96,19.97,68.1,94.25,-0.55,76213.35,38781.51,23498.01,2019-03-01,2019,3,1,4,9,0,False,True,False,False,False,True,False,False,True
87.05,19.57,68.1,94.29,-0.02,100729.49,48558.8,27016.92,2019-03-02,2019,3,2,5,9,1,False,True,False,False,False,True,False,True,False
87.13,19.19,68.1,94.34,-0.04,114364.1,42626.87,28719.09,2019-03-03,2019,3,3,6,9,1,False,True,False,False,False,True,False,True,False
