marketing_score,competition_index,customer_satisfaction,purchasing_power_index,weather_condition,tech_event,5g_phase,store_traffic,public_transport,city,jPhone_Pro_revenue,Kaggle_Pixel_5_revenue,Planet_SX_revenue,date
80.0,23.33,68.0,90.0,Bad,,Pre-5G,0.8,Hub,Marseille,46262.0,20989.1,25250.845,2019-01-01
80.07,23.58,68.0,90.09,Moderate,,Pre-5G,0.33,Limited,Marseille,53837.01,29778.99,19851.72,2019-01-02
80.14,23.82,68.0,90.17,Bad,,Pre-5G,0.78,Hub,Marseille,63856.25,29479.77,15969.54,2019-01-03
80.22,24.06,68.0,90.26,Moderate,,Pre-5G,0.53,Hub,Marseille,60233.35,33388.05,15323.78,2019-01-04
80.29,24.3,68.0,90.34,Moderate,,Pre-5G,0.41,Good,Marseille,85107.83,40638.04,18234.98,2019-01-05
80.36,24.54,68.01,90.43,Moderate,,Pre-5G,0.06,Hub,Marseille,69711.28,38609.6,19364.16,2019-01-06
80.43,24.775,68.01,90.52,Moderate,,Pre-5G,0.19,Poor,Marseille,62110.32,33170.61,14962.56,2019-01-07
80.58,25.01,68.01,90.6,Moderate,,Pre-5G,0.23,Hub,Marseille,57779.43,27731.62,15155.63,2019-01-08
80.72,25.23,68.01,90.69,Moderate,,Pre-5G,-0.85,Poor,Marseille,52613.79,30105.51,17798.16,2019-01-09
80.87,25.450000000000003,68.01,90.77,Bad,,Pre-5G,0.78,Hub,Marseille,61976.42,31091.7,14733.89,2019-01-10
81.01,25.67,68.01,90.86,Bad,,Pre-5G,0.08,Poor,Marseille,64047.08,37976.15,15557.19,2019-01-11
81.15,25.88,68.01,90.94,Moderate,,Pre-5G,0.46,Poor,Marseille,71123.93,46320.77,14860.630000000001,2019-01-12
81.3,26.08,68.01,91.03,Moderate,,Pre-5G,0.16,Good,Marseille,82875.21,36238.28,14164.07,2019-01-13
81.44,26.28,68.01,91.11,Moderate,,Pre-5G,0.27,Poor,Marseille,63904.96,31483.785,13467.51,2019-01-14
81.58,26.7,68.02,91.19,Moderate,,Pre-5G,0.03,Good,Marseille,59863.03,26729.29,15354.16,2019-01-15
81.72,27.09,68.02,91.28,Bad,,Pre-5G,-0.21,Hub,Marseille,60913.43,29677.44,16547.42,2019-01-16
81.87,27.47,68.02,91.36,Bad,,Pre-5G,-0.83,Hub,Marseille,73032.07,28907.89,14672.11,2019-01-17
82.01,27.83,68.02,91.44,Bad,,Pre-5G,1.68,Hub,Marseille,68064.12,36017.1,18129.28,2019-01-18
82.15,28.17,68.02,91.52,Moderate,,Pre-5G,0.82,Good,Marseille,92588.08333333333,34751.205,23547.43,2019-01-19
82.29,28.49,68.02,91.61,Moderate,,Pre-5G,0.19,Good,Marseille,117112.04666666666,33485.31,19220.35,2019-01-20
82.43,28.77,68.02,91.69,Moderate,,Pre-5G,0.7,Good,Marseille,141636.01,28426.07,14893.27,2019-01-21
82.56,29.04,68.02,91.77,Moderate,,Pre-5G,0.06,Hub,Marseille,119737.67,25969.85,14161.69,2019-01-22
82.7,29.27,68.02,91.85,Moderate,,Pre-5G,0.18,Hub,Marseille,69524.78,30317.48,17372.79,2019-01-23
82.84,29.48,68.03,91.93,Bad,,Pre-5G,0.28500000000000003,Limited,Marseille,79510.9,34450.73,15058.42,2019-01-24
82.98,29.65,68.03,92.01,Moderate,,Pre-5G,0.39,Hub,Marseille,74311.41,33131.83,17338.15,2019-01-25
83.11,29.8,68.03,92.09,Moderate,,Pre-5G,-0.52,Hub,Marseille,89445.84,39893.33,22126.45,2019-01-26
83.24,29.91,68.03,92.16,Bad,,Pre-5G,-0.39,Hub,Marseille,77557.23,34205.41,20490.505,2019-01-27
83.38,29.99,68.03,92.24,Moderate,,Pre-5G,0.22,Hub,Marseille,54987.29,34813.64,18854.56,2019-01-28
83.51,30.04,68.03,92.32,Moderate,,Pre-5G,-0.06,Good,Marseille,48410.56,28844.75,18802.02,2019-01-29
83.64,30.06,68.03,92.39,Moderate,,Pre-5G,0.02,Good,Marseille,80585.26,33854.62,19952.14,2019-01-30
83.77,30.04,68.03,92.47,Moderate,,Pre-5G,0.64,Hub,Marseille,81757.91,30862.99,18671.99,2019-01-31
83.9,29.99,68.04,92.54,Moderate,,Pre-5G,0.37,Hub,Marseille,82930.56,30530.77,18066.27,2019-02-01
84.03,29.91,68.04,92.62,Moderate,,Pre-5G,0.43,Hub,Marseille,81157.91,31535.18,19899.295,2019-02-02
84.16,29.8,68.04,92.69,Moderate,,Pre-5G,0.43,Hub,Marseille,95595.33,28419.07,21732.32,2019-02-03
84.28,29.65,68.04,92.76,Bad,,Pre-5G,-0.48,Limited,Marseille,57221.58,25302.96,16043.0,2019-02-04
84.41,29.48,68.04,92.83,Bad,,Pre-5G,-0.94,Hub,Marseille,58426.74,32030.19,18087.86,2019-02-05
84.53,29.27,68.05,92.9,Bad,,Pre-5G,0.53,Hub,Marseille,71295.29,36962.77,35457.16,2019-02-06
84.66,29.04,68.05,92.97,Moderate,,Pre-5G,0.15,Hub,Marseille,76268.41,36671.83,41540.78,2019-02-07
84.78,28.77,68.05,93.04,Moderate,,Pre-5G,0.0,Hub,Marseille,80859.3,37829.69,34715.76,2019-02-08
84.9,28.49,68.05,93.11,Moderate,,Pre-5G,-0.15,Hub,Marseille,89936.58,42024.9,20869.02,2019-02-09
85.01,28.17,68.06,93.18,Bad,,Pre-5G,0.69,Poor,Marseille,82155.26,40663.7,21129.7,2019-02-10
85.13,27.83,68.06,93.24,Moderate,,Pre-5G,0.78,Limited,Marseille,72328.52,36340.22,20221.45,2019-02-11
85.25,27.47,68.06,93.31,Bad,,Pre-5G,-0.42,Hub,Marseille,58662.53,28838.26,15987.76,2019-02-12
85.36,27.09,68.06,93.37,Bad,,Pre-5G,-0.1,Good,Marseille,72231.24,31864.61,20774.5,2019-02-13
85.47,26.7,68.06,93.44,Bad,,Pre-5G,-0.61,Good,Marseille,72342.2,28233.18,22845.89,2019-02-14
85.58,26.28,68.07,93.5,Bad,,Pre-5G,0.35,Limited,Marseille,87912.4,38755.0,22414.26,2019-02-15
85.69,25.85,68.07,93.56,Moderate,,Pre-5G,0.13,Hub,Marseille,90389.81,41163.23,15353.05,2019-02-16
85.8,25.41,68.07,93.62,Bad,,Pre-5G,1.0,Good,Marseille,80810.70999999999,38771.79,22745.96,2019-02-17
85.91,24.96,68.07,93.68,Bad,,Pre-5G,0.79,Limited,Marseille,71231.61,30042.65,15523.49,2019-02-18
86.01,24.5,68.08,93.73,Moderate,,Pre-5G,-0.1,Poor,Marseille,80307.65,35071.31,13749.38,2019-02-19
86.12,24.04,68.08,93.79,Moderate,,Pre-5G,0.66,Limited,Marseille,72819.34,37974.26,22409.52,2019-02-20
86.22,23.57,68.08,93.85,Moderate,,Pre-5G,-0.42,Poor,Marseille,79968.4,36278.09,20934.885000000002,2019-02-21
86.32,23.1,68.08,93.9,Moderate,,Pre-5G,0.22,Hub,Marseille,73928.68,36159.57,19460.25,2019-02-22
86.41,22.63,68.08,93.95,Moderate,,Pre-5G,0.55,Hub,Marseille,82310.21,35573.41,26731.56,2019-02-23
86.51,22.17,68.09,94.01,Bad,,Pre-5G,-0.21,Hub,Marseille,82710.01,52458.05,23251.3,2019-02-24
86.6,21.71,68.09,94.06,Moderate,Tech Show,Pre-5G,0.71,Limited,Marseille,114704.61,45444.62,19680.13,2019-02-25
86.7,21.25,68.09,94.11,Bad,,Pre-5G,0.57,Good,Marseille,65129.76,32925.79,21112.165,2019-02-26
86.785,20.81,68.09,94.16,Moderate,,Pre-5G,0.02,Hub,Marseille,66963.53,35360.09,22544.2,2019-02-27
86.87,20.38,68.095,94.2,Moderate,,Pre-5G,0.48,Hub,Marseille,72341.11,44905.19,24297.87,2019-02-28
86.96,19.97,68.1,94.25,Good,,Pre-5G,-0.55,Poor,Marseille,76213.35,38781.51,23498.01,2019-03-01
87.05,19.57,68.1,94.29,Good,,Pre-5G,-0.02,Hub,Marseille,100729.49,48558.8,27016.92,2019-03-02
87.13,19.19,68.1,94.34,Good,,Pre-5G,-0.04,Hub,Marseille,114364.1,42626.87,28719.09,2019-03-03
87.21,18.83,68.1,94.38,Good,,Pre-5G,-0.24,Hub,Marseille,75041.66,36694.94,21678.27,2019-03-04
87.29,18.5,68.11,94.42,Good,,Pre-5G,-0.78,Poor,Marseille,70420.15,40776.69,18785.32,2019-03-05
87.36,18.18,68.11,94.46,Good,,Pre-5G,0.1,Hub,Marseille,86621.93,34517.03,24250.03,2019-03-06
87.44,17.89,68.11,94.5,Moderate,,Pre-5G,0.58,Poor,Marseille,84875.76,47858.99,24913.1,2019-03-07
87.51,17.63,68.11,94.54,Good,,Pre-5G,-0.32,Hub,Marseille,101424.7,42934.95,19315.55,2019-03-08
87.58,17.39,68.12,94.57,Moderate,,Pre-5G,0.48,Hub,Marseille,95157.87,41512.16,24610.1,2019-03-09
87.65,17.19,68.12,94.6,Moderate,,Pre-5G,-0.36,Poor,Marseille,113797.68,38373.13,23049.465,2019-03-10
87.71,17.01,68.12,94.64,Good,,Pre-5G,-0.12,Hub,Marseille,80692.22,36346.5,21488.83,2019-03-11
87.78,16.87,68.12,94.67,Moderate,,Pre-5G,0.19,Good,Marseille,70265.14,29276.22,20607.46,2019-03-12
87.84,16.75,68.12,94.7,Moderate,,Pre-5G,-0.76,Poor,Marseille,76200.17,31349.176,20757.95,2019-03-13
87.9,16.67,68.13,94.73,Good,,Pre-5G,-0.32,Poor,Marseille,77464.05,33422.132,21181.11,2019-03-14
87.96,16.62,68.13,94.76,Good,,Pre-5G,0.1,Poor,Marseille,92262.88,35495.088,27081.85,2019-03-15
88.01,16.61,68.13,94.78,Good,,Pre-5G,0.9,Good,Marseille,84533.26,37568.044,29321.75,2019-03-16
88.07,16.62,68.13,94.81,Good,,Pre-5G,0.3,Hub,Marseille,111223.71,39641.0,28721.77,2019-03-17
88.12,16.67,68.13,94.83,Moderate,,Pre-5G,0.71,Poor,Marseille,92282.89,43284.75,24929.12,2019-03-18
88.16,16.75,68.14,94.85,Moderate,,Pre-5G,0.81,Hub,Marseille,74371.18,35076.93,21782.08,2019-03-19
88.21,16.87,68.14,94.87,Moderate,,Pre-5G,0.6,Hub,Marseille,73665.98,46116.8,24374.77,2019-03-20
88.25,17.01,68.14,94.89,Moderate,,Pre-5G,0.35,Poor,Marseille,79964.04,38709.18,23702.19,2019-03-21
88.3,17.19,68.14,94.91,Moderate,,Pre-5G,-0.22,Poor,Marseille,95669.32,33586.04,26651.48,2019-03-22
88.34,17.39,68.15,94.92,Good,,Pre-5G,0.84,Good,Marseille,100033.4,44073.59,31660.32,2019-03-23
88.37,17.63,68.15,94.94,Good,,Pre-5G,0.13,Good,Marseille,90851.51999999999,50268.87,25544.3,2019-03-24
88.41,17.89,68.15,94.95,Moderate,,Pre-5G,0.28,Hub,Marseille,81669.64,37871.28,26305.44,2019-03-25
88.44,18.18,68.15,94.96,Good,,Pre-5G,0.85,Good,Marseille,67555.65,37693.89,20850.52,2019-03-26
88.47,18.5,68.15,94.97,Good,,Pre-5G,-0.89,Hub,Marseille,91417.59,42707.29,24112.86,2019-03-27
88.5,18.83,68.16,94.98,Good,,Pre-5G,0.26,Hub,Marseille,99070.83,42084.53,24939.66,2019-03-28
